"","League","Bet.","Bet.Type.","Side.Data.","Bet.Type.Data.","Sharp","no_bets","Public","no_bets.1","Money","no_bets.2"
"1","CBB","away","ML","away","ML",54,"6 / 440",80,"8 / 446",NA,"NA / 441"
"2","CBB","away","ML","home","ML",23,"83 / 440",NA,"NA / 446",92,"48 / 441"
"3","CBB","away","spread","away","ML",41,"29 / 615",85,"13 / 646",NA,"NA / 618"
"4","CBB","away","spread","home","ML",38,"38 / 615",94,"10 / 646",NA,"NA / 618"
"5","CBB","home","ML","away","ML",7,"157 / 440",62,"100 / 446",62,"144 / 441"
"6","CBB","home","ML","home","ML",NA,"NA / 440",90,"5 / 446",96,"23 / 441"
"7","CBB","home","spread","away","ML",NA,"NA / 615",NA,"NA / 646",NA,"NA / 618"
"8","CBB","home","spread","home","ML",83,"3 / 615",NA,"NA / 646",NA,"NA / 618"
"9","CBB","underdog","ML","favorite","ML",NA,"NA / 436",48,"160 / 442",82,"7 / 437"
"10","CBB","underdog","ML","underdog","ML",31,"67 / 436",NA,"NA / 442",92,"63 / 437"
"11","CBB","underdog","spread","favorite","ML",37,"17 / 611",57,"117 / 642",84,"18 / 614"
"12","CBB","underdog","spread","underdog","ML",58,"14 / 611",94,"12 / 642",NA,"NA / 614"
"13","CBB","favorite","ML","favorite","ML",34,"10 / 436",74,"9 / 442",62,"32 / 437"
"14","CBB","favorite","ML","underdog","ML",83,"1 / 436",79,"25 / 442",NA,"NA / 437"
"15","CBB","favorite","spread","favorite","ML",NA,"NA / 611",NA,"NA / 642",NA,"NA / 614"
"16","CBB","favorite","spread","underdog","ML",79,"5 / 611",NA,"NA / 642",NA,"NA / 614"
"17","CBB","away","ML","away","spread",25,"24 / 451",NA,"NA / 451",68,"64 / 451"
"18","CBB","away","ML","home","spread",23,"10 / 451",NA,"NA / 451",NA,"NA / 451"
"19","CBB","away","spread","away","spread",27,"33 / 659",NA,"NA / 659",86,"5 / 659"
"20","CBB","away","spread","home","spread",40,"4 / 659",83,"11 / 659",NA,"NA / 659"
"21","CBB","home","ML","away","spread",35,"5 / 451",57,"136 / 451",77,"16 / 451"
"22","CBB","home","ML","home","spread",21,"23 / 451",74,"25 / 451",85,"5 / 451"
"23","CBB","home","spread","away","spread",NA,"NA / 659",65,"79 / 659",79,"23 / 659"
"24","CBB","home","spread","home","spread",19,"54 / 659",NA,"NA / 659",86,"23 / 659"
"25","CBB","underdog","ML","favorite","spread",19,"51 / 447",51,"123 / 447",68,"34 / 447"
"26","CBB","underdog","ML","underdog","spread",12,"74 / 447",70,"74 / 447",NA,"NA / 447"
"27","CBB","underdog","spread","favorite","spread",20,"71 / 655",51,"164 / 655",49,"241 / 655"
"28","CBB","underdog","spread","underdog","spread",38,"5 / 655",72,"95 / 655",NA,"NA / 655"
"29","CBB","favorite","ML","favorite","spread",35,"4 / 447",72,"1 / 447",80,"6 / 447"
"30","CBB","favorite","ML","underdog","spread",27,"4 / 447",80,"8 / 447",84,"7 / 447"
"31","CBB","favorite","spread","favorite","spread",35,"12 / 655",NA,"NA / 655",80,"12 / 655"
"32","CBB","favorite","spread","underdog","spread",19,"57 / 655",NA,"NA / 655",84,"32 / 655"
